Question,Answer
- 896 + 169 + 279 + 711 + 926 + 867 - 200 + 367 - 491 - 189 - 916 + 541 + 497 - 405 + 804 + 227,2291
426 - 722 + 762 + 775 + 566 - 498 + 869 + 913 - 319 - 336 - 323 - 843 - 658 + 888 + 394 + 654,2548
716 - 463 - 900 + 510 - 538 + 215 - 275 + 239 + 919 - 239 - 721 - 309 + 324 + 541 - 252 + 355,122
- 162 + 859 - 323 - 307 + 735 + 463 - 453 + 541 - 153 - 445 + 446 + 956 + 569 - 121 + 266 + 185,3056
197 - 607 - 199 - 837 - 191 - 194 - 305 - 774 + 578 + 461 + 144 + 933 + 631 - 395 + 570 - 871,-859
426 - 936 + 104 - 568 + 313 - 157 - 827 + 439 + 657 + 364 - 577 + 105 + 434 + 881 - 953 + 574,279
576 + 883 + 148 + 174 + 454 + 255 + 420 + 547 - 694 + 896 + 213 + 138 - 146 + 428 - 448 + 912,4756
- 857 - 562 + 357 + 893 + 168 - 619 + 194 - 585 - 671 - 921 - 904 + 672 + 751 - 195 + 632 - 458,-2105
- 377 - 726 - 991 - 135 - 978 + 258 + 392 + 652 - 239 - 206 + 830 + 275 + 929 - 600 - 438 - 427,-1781
- 833 - 805 - 679 + 555 - 754 + 594 + 165 - 235 + 500 + 428 - 160 - 720 - 203 + 298 - 359 - 764,-2972
- 522 - 415 - 647 + 312 + 967 - 142 + 522 - 148 + 529 + 108 + 943 - 923 - 349 - 722 - 127 + 180,-434
- 830 + 753 - 305 + 503 - 763 + 700 - 108 - 852 + 715 - 396 - 697 + 556 - 103 + 991 + 335 - 390,109
453 - 349 - 791 + 451 + 523 + 564 + 281 - 381 - 958 + 478 + 714 + 404 - 306 - 541 - 633 + 495,404
223 + 443 + 696 - 883 - 655 + 805 - 699 + 620 - 257 + 547 + 628 + 200 - 197 + 821 + 148 + 800,3240
- 458 + 814 - 200 - 597 - 885 - 947 - 129 + 585 + 903 + 395 - 506 - 476 + 291 + 771 - 454 + 795,-98
475 + 756 - 101 - 281 - 156 - 666 + 353 - 881 - 623 + 632 + 658 + 877 - 671 - 247 + 997 - 353,769
776 + 570 - 363 + 768 + 690 - 165 + 276 - 838 + 682 - 616 + 704 - 731 + 337 - 534 - 397 - 425,734
496 + 566 + 335 - 275 + 451 + 121 + 357 - 948 + 333 - 678 + 952 - 779 + 547 + 482 - 735 + 853,2078
283 + 379 + 832 + 184 - 222 + 581 - 903 - 737 + 968 - 675 - 916 + 557 - 781 - 960 - 351 - 997,-2758
123 - 238 - 174 + 731 + 421 + 488 + 954 + 231 + 627 + 624 + 137 - 190 - 819 - 154 - 581 - 571,1609
747 - 274 - 703 + 248 - 244 + 836 - 389 + 159 - 243 - 780 - 653 + 292 - 564 - 864 + 630 + 673,-1129
463 - 423 + 548 + 558 - 296 + 342 + 563 - 481 + 416 + 394 - 339 + 350 + 736 - 395 - 710 + 543,2269
676 - 942 + 552 - 591 - 730 - 115 + 105 - 352 - 753 - 871 - 865 - 243 + 219 + 481 + 795 + 443,-2191
864 - 222 + 354 - 884 + 426 + 675 - 895 - 880 + 115 - 877 + 134 - 179 + 765 + 511 + 951 - 329,529
821 + 427 + 312 - 205 - 388 - 317 - 485 - 820 + 212 + 747 + 817 + 957 - 373 + 276 - 266 + 149,1864
257 - 300 - 384 + 967 + 843 - 941 - 751 - 334 - 639 + 628 + 463 - 772 - 689 - 541 - 997 + 698,-2492
- 247 - 704 - 582 - 568 - 972 - 316 - 425 + 500 - 436 + 486 - 353 + 638 - 104 - 502 + 387 - 356,-3554
594 - 205 - 169 + 427 - 175 - 174 + 587 - 126 + 901 - 686 - 898 + 448 + 229 + 543 - 546 - 542,208
763 - 490 - 737 - 117 - 808 + 457 + 121 - 861 + 538 + 295 - 498 + 201 + 952 + 308 + 744 - 108,760
- 998 - 119 + 872 - 262 + 262 - 991 + 370 - 656 + 866 + 477 - 543 + 143 + 464 - 522 + 434 - 583,-786
547 - 404 - 453 + 695 - 705 + 924 - 880 - 450 + 309 - 214 - 950 - 154 + 699 - 363 - 124 + 810,-713
133 + 329 + 657 + 788 - 645 + 514 - 353 - 924 + 915 - 875 + 452 - 109 + 439 - 474 + 514 + 959,2320
243 + 651 - 334 + 911 + 231 + 487 + 746 + 910 - 747 + 455 + 166 + 844 + 691 - 622 - 188 + 926,5370
- 176 - 642 - 327 - 327 + 350 - 312 + 744 - 968 + 173 + 533 - 314 - 492 - 929 - 356 - 637 + 728,-2952
- 410 - 197 - 519 - 818 + 670 + 805 + 416 + 750 - 215 - 573 - 421 - 593 - 580 + 209 - 276 - 122,-1874
161 - 108 + 553 + 794 + 850 + 693 - 995 + 507 - 960 + 734 - 756 + 788 + 478 + 521 + 537 - 535,3262
- 395 + 649 + 804 + 222 - 322 - 972 + 522 + 937 + 390 - 609 + 572 - 961 + 770 + 860 + 134 - 677,1924
260 + 856 - 418 + 797 + 638 - 125 + 284 + 797 - 507 + 120 - 618 + 777 - 115 - 823 + 994 + 994,3911
390 + 297 - 711 + 956 - 167 - 432 - 356 - 575 - 581 - 160 + 627 - 854 - 485 - 824 - 952 - 917,-4744
383 + 460 + 497 + 352 + 182 + 121 + 111 - 639 - 179 + 482 - 642 + 412 + 943 + 862 - 823 + 625,3147
852 + 348 - 992 + 304 + 996 + 996 + 226 + 717 - 415 + 490 + 183 + 383 - 407 - 830 - 565 + 768,3054
956 - 678 - 519 - 458 + 594 + 892 + 796 - 146 - 982 + 830 + 777 + 392 - 465 + 809 - 877 + 794,2715
- 219 - 671 - 418 - 978 + 828 + 216 - 715 + 220 + 505 + 765 + 471 - 428 - 400 + 149 - 511 + 608,-578
253 - 413 - 725 - 709 - 292 + 354 - 353 - 628 - 130 - 716 + 938 + 532 + 106 - 453 - 436 + 360,-2312
358 - 474 + 482 - 602 + 464 + 862 - 886 + 707 - 540 - 186 - 625 + 764 - 470 + 409 + 953 - 627,589
716 + 703 + 598 + 246 + 357 + 790 + 884 + 706 - 383 - 510 + 271 + 615 + 393 - 355 - 855 - 446,3730
486 + 415 + 420 + 336 - 270 - 856 + 501 + 322 + 151 + 417 + 972 - 762 + 520 + 177 + 159 - 411,2577
- 992 + 472 - 111 - 245 + 742 - 274 + 444 - 267 + 175 - 417 - 897 + 502 - 664 + 942 - 864 + 619,-835
- 239 - 911 + 823 - 505 + 750 - 663 - 736 + 956 + 243 - 593 - 666 - 174 - 999 - 616 + 337 - 685,-3678
- 473 - 703 + 319 - 474 + 627 - 932 + 233 - 667 + 663 - 355 + 419 - 508 - 560 + 286 + 434 - 580,-2271
897 + 361 - 287 - 589 - 869 - 592 + 214 - 685 - 364 + 949 - 695 + 552 - 714 - 598 - 708 + 796,-2332
- 120 - 865 - 872 + 535 + 104 - 799 + 473 + 844 + 777 + 742 - 144 + 189 + 867 - 777 + 938 - 583,1309
- 359 - 541 - 119 + 463 - 563 - 245 + 856 - 374 - 866 - 619 + 141 - 538 - 149 + 364 + 281 + 371,-1897
- 710 + 555 - 690 - 732 - 997 - 913 - 282 + 610 + 427 - 209 + 445 - 938 - 267 + 948 + 435 + 795,-1523
773 - 889 + 212 - 109 - 675 - 179 - 209 - 900 + 834 + 654 + 590 - 536 + 417 + 842 - 267 + 528,1086
- 336 - 452 - 512 + 598 + 586 + 541 + 263 - 739 + 597 + 493 - 900 + 816 - 446 + 478 + 786 - 856,917
- 633 - 169 - 508 + 183 - 916 - 357 + 468 - 343 - 106 + 981 - 947 + 879 + 226 - 992 + 700 - 121,-1655
- 660 - 231 + 704 - 681 - 250 + 886 + 342 + 769 - 928 + 769 - 638 - 180 + 935 + 446 - 942 + 725,1066
376 - 159 - 232 - 183 - 361 - 334 - 723 + 363 - 907 + 587 + 154 + 313 - 534 - 925 - 493 + 239,-2819
- 321 - 946 + 336 - 547 - 169 - 797 + 427 + 662 - 311 - 183 - 204 - 892 + 465 + 156 - 259 + 521,-2062
- 221 + 776 + 323 + 514 + 558 + 752 - 925 + 848 + 696 - 365 - 889 - 632 + 762 + 542 + 119 - 386,2472
231 + 561 + 981 - 830 + 507 + 274 - 271 - 193 - 918 + 456 - 353 + 826 + 579 + 986 + 965 + 551,4352
461 - 589 + 988 - 445 - 737 + 507 + 321 - 597 + 514 - 252 - 695 - 483 - 827 + 884 + 305 - 291,-936
403 - 769 + 630 - 446 + 113 + 179 + 650 + 361 + 641 - 281 - 290 - 626 + 344 + 624 + 167 + 812,2512
748 - 964 + 679 - 366 - 453 - 550 + 388 - 288 + 321 - 318 + 731 - 658 - 677 - 527 - 308 - 669,-2911
- 264 + 767 - 911 - 129 + 369 - 221 - 635 + 754 - 197 + 179 + 993 - 764 - 862 + 778 - 708 + 965,114
190 + 600 + 886 - 921 - 785 - 952 - 100 - 953 - 591 + 398 - 343 - 968 - 452 + 515 + 842 + 679,-1955
- 324 + 161 + 870 + 383 + 743 + 507 - 604 - 719 + 346 + 326 + 378 - 782 - 800 + 711 - 746 + 416,866
- 678 - 193 - 669 - 608 - 742 - 575 - 999 + 444 + 265 - 272 - 106 + 726 + 461 - 879 + 682 - 547,-3690
818 + 379 + 588 - 269 + 629 + 599 - 449 - 563 + 599 + 455 - 250 + 294 - 606 + 412 - 962 + 386,2060
635 - 120 - 796 - 777 - 681 - 184 - 672 + 515 - 957 + 894 - 742 - 634 + 272 - 361 + 845 - 423,-3186
986 + 443 - 783 + 331 + 216 + 721 - 145 + 466 - 729 + 161 + 800 + 629 + 307 + 132 + 387 + 169,4091
- 587 + 145 + 952 + 843 - 986 + 448 - 727 - 856 - 854 - 742 - 618 + 140 - 452 - 347 - 758 - 540,-4939
414 - 139 - 675 - 800 - 816 - 835 - 236 + 479 - 840 + 448 + 981 - 878 - 650 - 432 + 701 + 920,-2358
- 152 + 693 - 873 + 978 + 650 + 147 + 588 - 129 - 639 + 107 - 195 - 940 - 374 - 123 - 307 + 912,343
120 + 452 + 545 + 808 - 847 + 784 - 682 + 574 + 109 - 507 - 773 + 269 + 618 + 541 + 822 - 808,2025
454 - 172 - 173 - 857 + 150 - 674 + 737 - 892 + 618 + 918 - 730 - 604 - 540 - 671 - 902 + 601,-2737
725 - 506 - 704 - 581 + 434 + 137 - 128 + 882 + 907 + 908 + 747 - 477 - 859 + 917 + 661 - 616,2447
949 - 434 - 248 - 160 + 772 + 654 + 678 - 267 + 807 - 672 + 593 - 138 + 789 - 224 - 496 + 843,3446
126 + 549 + 129 - 894 + 208 - 222 - 765 - 252 - 834 - 384 + 607 + 371 + 196 + 731 + 589 - 743,-588
- 357 + 443 - 371 + 369 + 643 - 699 + 860 + 967 - 832 - 512 - 768 - 436 - 228 + 145 + 650 - 978,-1104
688 + 309 - 607 - 677 + 507 - 233 - 558 - 103 - 482 - 613 - 770 + 210 - 146 - 425 + 670 - 609,-2839
- 376 + 191 - 118 + 481 + 661 - 489 - 677 + 551 + 439 + 459 - 688 - 202 - 330 - 886 - 377 + 116,-1245
979 - 735 - 390 - 600 + 981 - 970 + 648 - 601 - 451 + 982 + 524 + 775 + 591 - 943 + 764 + 180,1734
423 - 885 - 418 - 922 + 226 + 479 + 905 + 473 + 127 + 756 + 914 + 740 - 828 + 538 + 866 + 829,4223
- 243 + 224 + 262 - 952 + 360 + 555 + 334 - 593 + 280 - 787 + 655 + 790 - 565 - 942 + 690 - 663,-595
862 + 732 - 550 - 393 - 927 + 329 + 854 + 972 - 909 - 405 - 202 + 225 - 649 + 902 + 121 - 351,611
- 763 + 600 - 964 + 973 - 263 + 424 - 880 - 410 - 251 - 453 - 379 - 318 + 644 - 873 - 600 - 412,-3925
725 - 507 - 319 + 936 - 688 - 995 - 726 + 312 + 208 + 294 + 162 + 488 + 973 - 270 - 553 - 894,-854
387 + 573 + 574 - 749 + 781 - 508 + 277 - 658 + 803 - 965 + 427 + 650 + 777 - 916 + 778 + 939,3170
268 + 821 - 794 + 954 + 858 + 699 + 643 + 344 - 830 - 451 - 858 + 212 + 890 - 163 - 138 + 629,3084
548 - 882 + 550 + 525 + 872 - 564 + 927 + 144 - 503 + 490 - 631 + 958 - 274 + 582 - 968 + 379,2153
- 523 + 972 - 268 + 398 + 130 + 282 - 984 + 130 - 556 - 175 + 457 + 181 - 806 - 943 - 853 + 272,-2286
849 + 866 - 503 - 954 + 344 + 486 - 257 - 814 + 494 - 446 - 926 - 870 - 462 - 733 + 175 - 126,-2877
- 709 - 251 + 647 - 178 - 112 + 712 + 262 + 817 - 841 + 163 + 800 + 369 - 460 - 405 + 472 - 615,671
592 - 384 + 286 - 703 + 373 + 890 - 170 + 689 + 299 - 791 - 640 - 312 + 955 - 166 - 526 + 153,545
778 + 996 + 181 + 669 + 157 + 926 - 288 + 259 - 846 + 734 - 440 + 448 - 364 - 936 - 532 - 436,1306
142 + 831 - 689 + 909 + 166 + 711 - 557 - 649 + 873 + 559 - 596 + 203 + 818 + 702 + 177 - 196,3404
- 882 + 348 - 905 + 225 - 224 - 183 - 134 + 199 + 371 - 183 + 965 - 552 - 595 + 749 - 424 + 960,-265
532 - 695 + 875 + 219 - 246 + 489 + 940 - 506 - 901 + 171 + 303 + 390 - 645 + 666 - 160 + 554,1986
469 - 241 - 546 + 309 - 702 + 215 - 726 + 180 - 455 - 419 + 523 - 113 + 389 - 672 - 221 - 986,-2996
597 - 540 - 470 + 122 - 491 - 163 + 803 - 789 + 601 + 399 + 935 + 632 + 749 + 500 - 464 - 655,1766
325 - 981 + 406 + 966 - 298 - 375 + 976 - 888 + 692 - 912 - 815 + 688 + 753 - 394 + 254 - 482,-85
- 197 - 922 - 574 + 567 - 101 + 320 + 224 + 715 + 232 + 842 + 716 - 184 - 797 - 768 - 993 - 577,-1497
183 + 835 - 400 - 751 + 926 - 440 - 192 + 169 - 915 - 321 - 945 - 872 - 759 + 695 + 101 - 983,-3669
320 + 554 - 561 - 748 + 471 + 243 + 492 + 997 - 366 + 825 - 217 + 719 + 949 + 691 + 555 + 133,5057
- 125 - 294 - 426 - 360 + 243 + 601 + 524 - 149 - 574 + 792 - 807 + 457 + 253 - 906 + 348 + 538,115
818 - 541 - 492 + 427 - 834 + 720 - 209 - 829 - 994 - 653 + 603 - 957 + 602 + 114 - 849 - 879,-3953
- 877 - 599 + 519 - 281 + 648 + 363 - 925 + 691 + 740 - 865 - 151 + 270 - 498 - 822 - 701 + 361,-2127
- 357 + 674 - 813 + 359 + 453 - 522 + 164 + 105 + 206 - 659 + 606 + 442 + 874 - 227 - 198 - 452,655
- 202 + 978 - 162 + 987 - 746 - 813 - 795 + 937 + 268 + 937 - 511 + 737 - 393 + 526 - 333 + 547,1962
978 - 980 - 620 - 560 - 650 - 839 + 300 - 226 - 392 + 674 - 847 - 815 + 265 - 778 - 522 + 881,-4131
640 - 985 - 630 - 692 - 689 - 660 + 482 - 699 + 863 + 595 + 395 + 643 + 715 - 643 - 852 + 286,-1231
- 374 - 500 - 388 - 314 + 275 - 899 + 183 - 348 + 940 + 751 + 286 - 633 - 492 + 989 - 993 + 932,-585
755 - 943 + 737 + 222 - 162 + 548 + 104 - 474 - 548 - 512 + 637 + 100 - 938 + 323 + 415 - 285,-21
451 + 681 + 479 + 519 - 977 - 463 + 564 + 831 - 762 + 610 - 295 + 643 - 419 - 671 + 787 - 441,1537
- 406 - 728 - 900 + 682 + 900 + 259 + 670 + 145 + 835 - 897 + 632 - 855 + 631 - 922 + 994 - 349,691
364 - 308 - 168 + 973 - 838 - 918 - 312 - 519 - 291 - 849 - 460 + 301 + 574 + 276 + 946 + 333,-896
713 - 523 - 698 + 217 + 511 + 392 - 901 + 200 - 438 - 973 + 345 - 408 + 342 + 488 - 638 - 364,-1735
184 - 597 + 926 + 431 + 948 + 809 + 785 + 219 + 367 + 128 - 467 + 356 - 940 + 544 - 361 - 322,3010
780 + 175 - 829 - 307 + 815 + 275 - 257 + 317 - 891 - 732 + 583 - 637 - 875 + 945 - 567 + 397,-808
992 - 408 + 287 - 476 - 411 - 439 - 322 - 603 - 870 + 837 + 669 - 795 - 397 - 257 - 283 + 670,-1806
- 497 + 615 + 299 - 750 + 514 - 629 + 994 + 362 + 714 - 161 + 264 - 878 + 458 - 551 - 205 + 858,1407
837 + 181 + 769 + 355 + 204 + 151 - 467 - 467 + 115 - 947 + 831 - 287 - 229 - 318 - 692 - 177,-141
- 393 - 922 - 354 - 695 - 109 - 403 + 950 - 351 - 297 + 583 - 775 - 166 - 290 - 560 + 861 - 334,-3255
- 214 - 192 + 476 + 875 + 586 - 268 - 340 - 300 + 919 + 212 + 134 - 132 + 977 + 246 + 892 - 290,3581
227 + 167 + 941 - 480 - 649 + 225 - 931 - 736 - 125 - 765 + 408 + 917 + 970 + 864 - 219 - 829,-15
- 827 - 987 + 566 + 777 - 188 - 142 + 628 + 987 - 148 + 941 - 518 + 661 + 960 + 387 - 230 - 925,1942
- 471 + 690 + 293 + 918 - 174 - 977 - 593 - 103 - 413 - 194 + 191 - 915 + 138 - 905 - 852 + 941,-2426
- 214 - 262 - 950 - 268 + 728 - 535 + 992 - 529 + 689 + 460 - 753 + 136 + 600 - 851 + 558 - 102,-301
578 - 608 + 895 + 849 - 234 + 977 + 759 + 329 + 131 - 490 + 648 + 899 + 487 + 136 + 572 + 198,6126
950 + 492 - 844 - 623 - 227 + 751 + 413 - 779 + 330 - 870 + 959 - 481 - 490 - 361 + 996 + 669,885
551 - 195 - 153 - 739 - 735 + 711 + 689 - 296 + 771 + 712 + 498 - 900 + 429 + 843 + 232 + 718,3136
- 761 - 460 + 112 + 564 - 383 - 304 - 525 + 621 + 900 - 105 + 908 + 455 - 500 + 924 + 130 - 790,786
143 + 985 - 872 - 474 - 487 + 670 + 181 + 208 + 739 + 991 - 773 + 321 + 193 + 534 + 326 - 921,1764
- 213 - 876 - 370 - 946 + 940 - 710 - 917 - 487 + 139 + 459 - 319 + 829 - 163 - 514 - 922 - 473,-4543
362 + 516 + 371 - 633 + 331 + 426 - 381 + 692 - 552 + 878 - 706 + 737 - 401 + 814 - 570 - 700,1184
- 504 + 885 - 146 + 774 + 746 - 865 - 718 + 135 - 231 + 518 + 492 + 659 - 728 + 990 + 459 - 737,1729
- 475 - 591 - 417 + 548 - 110 + 494 + 621 + 748 + 795 - 688 + 222 - 613 - 485 + 784 - 781 + 175,227
733 + 285 - 142 - 884 - 104 - 758 - 126 - 943 - 188 - 254 - 775 - 915 - 137 - 784 - 311 + 890,-4413
- 383 - 652 - 251 + 345 + 820 + 265 + 809 - 926 - 726 - 558 - 294 - 512 - 458 + 436 + 395 + 536,-1154
- 807 - 621 + 969 + 512 - 365 + 449 - 241 + 477 - 676 + 278 + 803 + 257 - 331 + 919 - 566 + 259,1316
- 716 - 905 + 484 - 848 + 894 + 585 - 301 - 826 - 737 + 352 - 133 - 521 + 711 - 549 - 357 + 634,-2233
- 234 - 388 + 392 + 518 - 461 - 558 + 512 - 392 + 373 - 925 + 776 + 100 - 565 - 449 + 915 - 386,-772
- 225 + 149 + 100 - 476 + 109 - 997 + 237 + 334 - 580 + 556 - 267 - 475 + 355 - 173 - 866 - 713,-2932
852 + 213 + 292 - 229 + 431 - 148 + 365 + 656 - 727 + 317 - 572 + 606 + 744 + 107 - 125 - 776,2006
365 + 134 + 277 + 839 + 266 + 171 + 817 + 111 - 927 - 175 + 185 - 214 - 210 - 287 - 194 - 520,638
416 - 840 + 287 - 644 + 566 - 751 - 843 + 989 + 728 - 713 - 377 - 113 - 841 - 654 + 645 - 667,-2812
- 674 + 782 + 786 + 641 - 975 - 739 + 593 + 319 - 229 + 298 + 441 + 196 + 722 - 778 + 854 - 371,1866
- 831 - 402 - 231 - 987 + 671 - 298 + 501 - 723 - 189 + 625 - 674 + 748 - 840 - 860 - 626 - 918,-5034
- 989 + 238 + 457 - 687 + 342 - 733 + 849 + 720 - 329 + 410 + 631 - 115 + 685 + 621 - 387 + 575,2288
170 + 700 - 721 - 491 + 525 + 248 - 989 - 250 + 300 + 128 + 500 + 625 + 528 - 564 - 352 + 454,811
596 - 254 + 867 + 169 - 777 + 895 + 592 - 223 + 120 + 493 + 237 - 142 - 823 - 184 + 483 + 253,2302
- 147 + 646 - 313 + 170 + 966 - 833 - 513 + 886 - 640 - 185 + 415 + 624 + 547 - 389 + 542 - 499,1277
- 365 - 997 - 154 + 868 - 698 - 330 - 956 - 187 - 614 - 350 - 865 + 464 + 499 - 150 + 299 + 606,-2930
449 - 404 - 981 + 297 + 114 + 448 - 787 + 862 - 532 + 299 + 430 - 190 - 297 - 697 - 264 + 449,-804
- 479 - 239 - 201 + 482 + 257 + 506 + 572 - 868 - 675 + 673 - 724 - 279 - 826 + 181 + 113 + 505,-1002
- 975 + 640 + 408 + 239 + 871 - 624 + 803 - 873 - 315 + 931 - 105 - 194 - 403 + 891 - 869 - 595,-170
- 603 + 207 + 968 - 772 - 395 + 778 - 416 - 191 + 854 - 271 - 975 + 443 - 726 + 299 + 939 - 232,-93
119 + 955 - 697 - 122 - 330 + 115 - 414 + 940 + 710 - 254 + 632 - 118 - 646 + 378 - 565 + 177,880
- 876 + 755 + 887 - 575 + 761 - 558 + 121 + 613 - 968 + 461 - 210 + 102 + 416 + 897 + 160 + 740,2726
763 + 809 + 101 + 155 + 301 - 692 + 108 + 919 + 571 + 173 + 328 - 191 + 424 + 631 + 476 + 593,5469
- 847 - 477 - 129 - 637 + 588 + 585 - 231 + 135 - 887 + 576 + 638 + 769 - 111 - 638 - 546 + 903,-309
570 - 756 + 608 + 624 + 694 + 235 + 567 + 557 - 240 + 522 - 368 + 776 - 698 + 524 + 557 + 269,4441
- 911 - 900 - 612 - 460 + 631 - 811 + 944 + 139 - 253 - 274 - 575 + 468 + 815 + 936 + 678 - 588,-773
- 430 - 388 + 577 - 689 + 471 - 689 + 952 - 255 - 646 - 522 + 860 - 172 - 579 + 569 + 474 - 306,-773
543 - 414 + 499 - 511 + 605 - 290 - 184 + 928 - 723 + 955 + 659 - 862 - 756 - 948 + 438 + 344,283
- 853 - 260 + 282 - 388 - 335 - 911 + 548 - 656 - 496 - 776 - 750 + 408 - 789 - 607 + 598 + 549,-4436
- 163 + 480 - 340 + 818 - 219 - 981 + 984 + 158 - 519 - 762 + 125 - 265 + 996 - 660 - 188 + 305,-231
- 777 + 221 + 586 + 492 - 635 - 215 + 529 + 961 + 280 + 396 - 741 - 534 - 291 + 146 - 155 + 932,1195
- 898 - 473 - 925 - 690 + 680 - 434 - 111 + 688 + 600 + 186 + 894 + 922 - 666 - 561 - 642 - 479,-1909
- 591 + 524 + 805 - 450 - 179 + 537 + 560 + 529 + 363 + 252 + 770 + 131 + 620 + 124 + 115 + 972,5082
- 142 - 993 + 530 + 469 + 761 + 480 + 394 + 477 + 204 - 280 - 911 + 328 - 545 + 437 + 321 - 467,1063
366 - 387 - 865 + 405 - 689 + 451 + 136 - 910 + 748 - 770 - 757 - 795 - 549 - 307 - 322 - 364,-4609
735 - 243 - 289 + 151 - 706 + 134 - 786 + 893 + 117 + 800 - 835 + 238 + 502 + 905 + 452 - 354,1714
146 + 514 - 242 - 888 + 784 - 540 - 929 + 126 - 288 - 277 - 238 - 505 + 269 + 226 - 536 - 240,-2618
222 - 898 - 782 + 282 - 618 - 216 + 361 - 536 - 817 + 986 + 624 + 243 - 261 - 247 - 144 + 640,-1161
397 + 145 - 430 + 461 + 463 - 677 - 809 + 403 + 554 + 687 + 844 + 458 + 221 - 450 + 457 - 541,2183
- 424 + 951 + 755 - 398 - 323 - 198 + 503 + 825 - 508 + 243 - 277 - 792 + 405 + 278 + 775 - 102,1713
447 + 131 - 184 - 576 + 317 - 955 - 771 - 953 + 784 - 155 + 339 + 506 + 139 + 448 - 217 - 577,-1277
- 583 - 909 + 763 + 874 + 840 - 755 - 914 + 567 + 371 - 481 - 462 + 493 + 663 - 157 - 867 + 275,-282
- 345 - 355 - 170 - 603 - 622 - 292 - 835 + 887 + 669 + 762 + 703 - 570 + 143 + 653 - 250 + 355,130
389 + 306 - 778 - 729 - 292 + 794 - 329 - 441 + 101 + 582 + 736 + 408 - 618 - 400 + 186 - 327,-412
652 + 695 - 172 - 950 + 333 - 463 - 671 - 720 - 776 - 714 - 859 + 672 + 337 + 470 - 402 - 139,-2707
215 - 229 - 756 + 423 - 122 + 769 + 815 - 342 + 521 + 624 - 844 + 504 + 340 - 789 - 342 + 473,1260
- 495 - 212 - 218 + 832 + 320 - 972 - 716 - 720 + 124 + 138 - 164 - 805 - 443 - 704 + 521 + 343,-3171
- 369 - 697 + 602 - 103 - 506 - 136 + 819 + 415 - 144 - 425 + 473 - 571 - 192 + 489 + 166 - 681,-860
- 120 - 650 + 797 + 478 + 224 - 283 + 429 + 779 - 437 + 727 - 277 - 228 - 413 + 259 - 693 + 617,1209
- 520 + 291 - 482 - 694 - 109 + 199 - 544 - 904 - 379 - 935 + 432 - 320 - 799 + 399 + 866 + 548,-2951
- 599 + 257 - 846 - 195 + 665 + 571 + 781 + 299 + 759 - 333 + 651 - 226 - 295 + 368 + 563 + 994,3414
- 374 - 165 - 767 + 723 + 940 + 918 - 548 - 826 - 320 - 169 + 885 + 435 - 980 - 574 + 220 - 892,-1494
- 858 - 764 - 818 - 582 + 999 + 324 - 506 - 649 - 587 + 701 + 623 + 234 - 374 + 243 - 697 + 461,-2250
- 515 + 608 - 129 - 953 - 166 - 148 - 157 - 946 + 680 + 286 - 449 - 700 + 801 - 625 - 672 - 301,-3386
612 - 697 + 117 - 656 + 343 - 893 - 719 + 953 - 300 + 978 + 693 - 251 + 504 - 920 - 860 - 406,-1502
169 + 304 - 982 - 901 + 684 + 212 - 911 - 436 + 163 + 309 + 628 + 360 - 882 - 412 + 868 + 391,-436
810 + 957 - 389 - 212 + 740 - 961 + 661 - 229 - 668 + 599 - 209 + 602 - 726 - 135 - 234 + 905,1511
- 659 - 340 - 913 - 248 + 457 - 439 - 431 + 450 + 427 + 851 - 306 + 398 + 403 - 788 - 546 + 404,-1280
321 + 568 + 720 + 783 - 833 - 958 + 679 - 892 - 393 - 426 - 148 + 928 - 925 - 503 - 656 - 490,-2225
832 + 506 - 284 - 625 + 709 - 125 - 329 + 869 - 365 + 728 + 855 + 892 - 982 - 545 + 567 - 177,2526
127 + 760 + 372 + 444 + 166 - 489 + 925 - 755 - 984 + 953 - 170 + 113 - 404 - 132 - 276 - 477,173
- 764 - 189 + 431 + 903 - 377 - 231 + 744 - 428 + 620 + 691 + 859 - 918 - 425 - 408 + 460 - 519,449
- 191 - 379 - 665 - 774 + 290 + 843 + 623 + 771 + 705 + 315 - 745 - 259 + 177 - 795 + 386 - 776,-474
190 - 551 + 729 - 669 + 256 - 117 - 936 - 664 + 583 - 431 - 106 + 285 - 269 - 327 - 116 - 888,-3031
179 - 766 + 236 - 540 + 986 + 186 - 860 + 419 + 248 + 223 - 597 - 352 + 451 + 620 + 974 - 283,1124
330 + 506 + 144 - 983 - 932 - 692 + 211 + 427 - 154 - 489 - 791 - 558 - 299 + 840 + 743 + 233,-1464
309 + 515 - 373 - 291 - 953 + 950 - 517 - 379 - 828 + 722 + 919 + 937 + 220 + 845 - 910 + 880,2046
- 189 + 829 + 879 + 930 - 647 + 154 - 928 - 253 - 924 - 518 - 214 - 371 + 873 - 949 - 245 - 776,-2349
744 + 460 - 515 - 663 + 524 - 863 + 486 + 528 - 466 - 901 + 575 - 959 + 566 + 212 - 850 + 938,-184
537 + 271 - 885 - 257 + 131 + 547 + 408 - 756 + 694 - 360 + 575 - 345 - 802 + 979 + 357 + 634,1728
980 - 507 - 569 - 386 - 246 - 665 - 648 + 522 + 338 + 669 - 531 + 851 - 548 - 887 + 956 + 220,-451
778 - 123 + 118 - 286 + 138 - 172 - 866 - 776 + 750 + 576 - 684 + 397 - 748 - 591 + 161 - 643,-1971
